matter_code,clause_type_code,acceptance,example_text,normalized_terms,source_ref
commercials_fees_credit,credit_inadvertent_failure_not_breach_prospective_cure,ACCEPTABLE,"Any inadvertent failure to provide credit will not constitute a breach; Amazon will use commercially reasonable efforts to correct on a prospective basis upon written notice.","inadvertent failure|not breach|commercially reasonable efforts|prospective|written notice","{""doc"":""PSA_Principal_Terms"",""section"":""ENTITLEMENTS_CREDIT""}"
commercials_fees_credit,credit_inadvertent_failure_not_breach_prospective_cure,PASSABLE,"Inadvertent credit failure not a breach; Amazon to correct within 30 days of notice for future exhibitions.","inadvertent|30 days|future exhibitions","{""doc"":""Counterparty_Markup"",""note"":""Timing variant acceptable""}"
commercials_fees_credit,credit_inadvertent_failure_not_breach_prospective_cure,UNACCEPTABLE,"Any failure to provide credit constitutes a material breach entitling ProdCo to terminate.","material breach|terminate|failure to provide credit","{""doc"":""Counterparty_Proposal"",""note"":""Unacceptable - makes credit failure material breach""}"
third_party_credit,third_party_credit_privity_reasonable_efforts_no_liability,ACCEPTABLE,"Amazon shall use reasonable efforts to inform all third parties with whom Amazon is in contractual privity of the credit obligations set forth herein, but is not responsible or liable to ProdCo for any failure of any third parties to comply with such credit obligations.","reasonable efforts|contractual privity|not responsible|not liable|third parties","{""doc"":""PSA_Principal_Terms"",""section"":""ENTITLEMENTS_CREDIT""}"
third_party_credit,third_party_credit_privity_reasonable_efforts_no_liability,PASSABLE,"Amazon will make reasonable efforts to notify distributors of credit requirements; Amazon not liable for third-party non-compliance.","reasonable efforts|notify|distributors|not liable","{""doc"":""Counterparty_Markup"",""note"":""Simplified but acceptable""}"
third_party_credit,third_party_credit_privity_reasonable_efforts_no_liability,UNACCEPTABLE,"Amazon shall ensure all third parties comply with credit obligations and shall be liable for any third-party failure.","ensure|liable|third-party failure","{""doc"":""Counterparty_Proposal"",""note"":""Imposes liability for third parties""}"
third_party_credit,third_party_credit_contractually_bind_no_police_no_liability,PASSABLE,"Amazon shall contractually bind all third parties with whom Amazon is in contractual privity of the credit obligations set forth herein, but shall have no obligation to police same, nor shall Company be responsible or liable to ProdCo for the failure of any third party to comply with the same.","contractually bind|no obligation to police|not responsible|not liable","{""doc"":""PSA_Fallbacks"",""section"":""ENTITLEMENTS_CREDIT"",""approval"":""AMAZON_LEGAL""}"
third_party_credit,third_party_credit_contractually_bind_no_police_no_liability,UNACCEPTABLE,"Amazon shall contractually bind third parties and actively monitor and enforce compliance with credit obligations.","contractually bind|monitor|enforce","{""doc"":""Counterparty_Proposal"",""note"":""Police obligation unacceptable""}"
rights_ownership,rights_exclusive_ownership_universe_perpetuity,ACCEPTABLE,"The Program and all Materials are owned by Amazon exclusively, throughout the universe, in perpetuity or for the maximum period permitted by law.","owned by Amazon exclusively|universe|perpetuity|maximum period","{""doc"":""PSA_Principal_Terms"",""section"":""RIGHTS""}"
rights_ownership,rights_exclusive_ownership_universe_perpetuity,PASSABLE,"Amazon owns all rights in the Program exclusively worldwide for the full term of copyright.","exclusively|worldwide|full term of copyright","{""doc"":""Counterparty_Markup"",""note"":""Acceptable variant""}"
rights_ownership,rights_exclusive_ownership_universe_perpetuity,UNACCEPTABLE,"ProdCo retains ownership of the Program; Amazon receives a limited license.","ProdCo retains|limited license","{""doc"":""Counterparty_Proposal"",""note"":""Ownership must vest in Amazon""}"
rights_ownership,rights_work_made_for_hire_and_assignment_backstop,ACCEPTABLE,"The Program and all Materials are works made for hire; to the extent any are not works made for hire, ProdCo irrevocably grants and assigns all rights to Amazon.","works made for hire|irrevocably grants|assigns","{""doc"":""PSA_Principal_Terms"",""section"":""RIGHTS""}"
rights_ownership,rights_work_made_for_hire_and_assignment_backstop,UNACCEPTABLE,"Materials created by ProdCo remain ProdCo's property subject to license.","ProdCo's property|subject to license","{""doc"":""Counterparty_Proposal"",""note"":""WMFH + assignment required""}"
rights_ownership,rights_all_media_now_known_future,ACCEPTABLE,"Rights include all media, means of distribution, and modes of exploitation now known or hereafter devised.","all media|distribution|exploitation|now known|hereafter devised","{""doc"":""PSA_Principal_Terms"",""section"":""RIGHTS""}"
rights_ownership,rights_further_assurances_registration_assignment,ACCEPTABLE,"ProdCo will execute and deliver any documents reasonably necessary to establish Amazon's rights, including registration and assignment of Materials.","execute and deliver|documents|registration|assignment","{""doc"":""PSA_Principal_Terms"",""section"":""RIGHTS""}"
rights_ownership,rights_power_of_attorney_recording,ACCEPTABLE,"ProdCo appoints Amazon as attorney-in-fact to execute, register, and record documents establishing Amazon's rights if ProdCo fails to do so.","attorney-in-fact|execute|register|record","{""doc"":""PSA_Principal_Terms"",""section"":""RIGHTS""}"
moral_rights,moral_rights_waiver_or_non_exercise,ACCEPTABLE,"ProdCo waives all moral rights (droit moral) in the Program and Materials; where waiver is not permitted, ProdCo agrees not to exercise such rights to hinder, burden, or stop Amazon's exploitation.","waives|moral rights|droit moral|not to exercise|hinder|burden|stop","{""doc"":""PSA_Principal_Terms"",""section"":""RIGHTS""}"
moral_rights,moral_rights_waiver_or_non_exercise,PASSABLE,"ProdCo waives moral rights to the fullest extent permitted by applicable law.","waives|moral rights|fullest extent|applicable law","{""doc"":""Counterparty_Markup"",""note"":""Acceptable jurisdiction variant""}"
moral_rights,moral_rights_waiver_or_non_exercise,UNACCEPTABLE,"ProdCo reserves all moral rights and may object to modifications.","reserves|moral rights|object to modifications","{""doc"":""Counterparty_Proposal"",""note"":""Moral rights reservation unacceptable""}"
confidentiality_npi_ai,confidentiality_npi_general_obligation,ACCEPTABLE,"ProdCo shall keep confidential all non-public information (NPI) relating to the Program, Amazon, or any Amazon affiliate.","keep confidential|non-public information|NPI|Program|Amazon","{""doc"":""PSA_Principal_Terms"",""section"":""MISC""}"
confidentiality_npi_ai,confidentiality_exceptions_need_to_know_affiliates_advisors,ACCEPTABLE,"ProdCo may disclose NPI to affiliates, employees, contractors, and professional service providers on a need-to-know basis under similar confidentiality obligations.","disclose|affiliates|employees|contractors|need-to-know|confidentiality obligations","{""doc"":""PSA_Principal_Terms"",""section"":""MISC""}"
confidentiality_npi_ai,confidentiality_required_by_law_notice,ACCEPTABLE,"ProdCo may disclose NPI if required by law or valid court order, provided ProdCo gives Amazon prompt notice and seeks confidential treatment.","required by law|court order|prompt notice|confidential treatment","{""doc"":""PSA_Principal_Terms"",""section"":""MISC""}"
confidentiality_npi_ai,ai_restriction_no_input_npi_program_materials,ACCEPTABLE,"ProdCo has not and will not input or permit others to input any NPI, the Program, or the Materials into any artificial intelligence service or tool unless and to the extent compliant with Amazon policy.","not input|artificial intelligence|NPI|Program|Materials|compliant with Amazon policy","{""doc"":""PSA_Principal_Terms"",""section"":""MISC""}"
confidentiality_npi_ai,ai_restriction_no_input_npi_program_materials,PASSABLE,"ProdCo will not use AI tools to process Program materials without Amazon's prior written approval and compliance with Amazon's AI policy.","AI tools|prior written approval|AI policy","{""doc"":""Counterparty_Markup"",""note"":""Approval process acceptable""}"
confidentiality_npi_ai,ai_restriction_no_input_npi_program_materials,UNACCEPTABLE,"ProdCo may use industry-standard AI tools in the production process.","may use|AI tools|production","{""doc"":""Counterparty_Proposal"",""note"":""Removes AI restriction entirely""}"
prodco_reps_title_noninfringement,prodco_rw_originality_full_copyright,ACCEPTABLE,"The Program and Materials are original and will qualify for full copyright protection (excepting materials in the public domain, Amazon-supplied materials, or materials created at Amazon's explicit direction).","original|full copyright protection|public domain|Amazon-supplied|explicit direction","{""doc"":""PSA_Principal_Terms"",""section"":""RW""}"
prodco_reps_title_noninfringement,prodco_rw_no_infringement_defamation_privacy,ACCEPTABLE,"The Program and Materials will not infringe any intellectual property right, will not defame any person, and will not violate any right of privacy.","not infringe|intellectual property|not defame|privacy","{""doc"":""PSA_Principal_Terms"",""section"":""RW""}"
prodco_reps_title_noninfringement,prodco_rw_no_encumbrances_third_party_interest,ACCEPTABLE,"The Program and Materials are not subject to any claim, encumbrance, or third-party interest that would interfere with Amazon's rights.","not subject to|claim|encumbrance|third-party interest","{""doc"":""PSA_Principal_Terms"",""section"":""RW""}"
prodco_reps_title_noninfringement,prodco_rw_exceptions_amazon_supplied_or_requested,ACCEPTABLE,"Excepting materials supplied by Amazon or created at Amazon's explicit request and/or direction.","excepting|Amazon-supplied|explicit request|direction","{""doc"":""PSA_Principal_Terms"",""section"":""RW""}"
prodco_reps_title_noninfringement,prodco_rw_no_knowledge_qualifiers,UNACCEPTABLE,"To the best of ProdCo's knowledge, the Materials do not infringe any third-party rights.","to the best of|knowledge|do not infringe","{""doc"":""Counterparty_Proposal"",""note"":""Knowledge qualifier not acceptable""}"
compliance_policies_laws,prodco_compliance_control_laws_sanctions_export_antiboycott_tax_evasion,ACCEPTABLE,"ProdCo will comply with all applicable control laws including sanctions, anti-boycott, export/re-export laws, and will not facilitate tax evasion.","comply|control laws|sanctions|anti-boycott|export|tax evasion","{""doc"":""PSA_Principal_Terms"",""section"":""RW""}"
compliance_policies_laws,prodco_compliance_amazon_policies_kickoff_packet,ACCEPTABLE,"ProdCo will comply with Amazon policies and guidelines made aware in advance, including the Development Kickoff Packet.","comply|Amazon policies|guidelines|Development Kickoff Packet","{""doc"":""PSA_Principal_Terms"",""section"":""RW""}"
compliance_policies_laws,mutual_compliance_measures_or_material_compliance,PASSABLE,"Each of Amazon and ProdCo has measures in place to materially comply with applicable laws.","measures in place|materially comply|applicable laws","{""doc"":""PSA_Fallbacks"",""section"":""RW"",""approval"":""AMAZON_LEGAL""}"
compliance_policies_laws,amazon_rw_right_and_power_to_perform,PASSABLE,"Amazon represents and warrants it has the full right and power to make and perform this Agreement.","Amazon represents|warrants|full right|power|perform","{""doc"":""PSA_Fallbacks"",""section"":""RW"",""approval"":""AMAZON_LEGAL""}"
indemnity_prodco,prodco_indemnity_indemnify_defend_option_hold_harmless,ACCEPTABLE,"ProdCo will indemnify, defend (at Amazon's option), and hold harmless Amazon and its affiliates from all Losses arising from third-party claims.","indemnify|defend|at Amazon's option|hold harmless|Losses|third-party claims","{""doc"":""PSA_Principal_Terms"",""section"":""INDEMNITY""}"
indemnity_prodco,prodco_indemnity_scope_third_party_claim_development_production,ACCEPTABLE,"Losses arising out of any third-party claim in connection with the development and production of the Program.","third-party claim|development|production|Program","{""doc"":""PSA_Principal_Terms"",""section"":""INDEMNITY""}"
indemnity_prodco,prodco_indemnity_triggers_breach_reps_warranties_negligence_willful_misconduct,ACCEPTABLE,"Triggers include ProdCo's breach of this Agreement, breach of representations or warranties, negligence, or willful misconduct.","breach|representations|warranties|negligence|willful misconduct","{""doc"":""PSA_Principal_Terms"",""section"":""INDEMNITY""}"
indemnity_prodco,prodco_indemnity_indemnitees_amazon_assignees_licensees_affiliates,ACCEPTABLE,"Indemnitees include Amazon, its assignees, licensees, affiliates, and their respective directors, officers, employees, and representatives.","Amazon|assignees|licensees|affiliates|directors|officers|employees","{""doc"":""PSA_Principal_Terms"",""section"":""INDEMNITY""}"
indemnity_prodco,prodco_indemnity_alleged_breach_handling,ACCEPTABLE,"[DELETE 'alleged breach' from ProdCo indemnity triggers]","delete|alleged breach","{""doc"":""PSA_Fallbacks"",""section"":""INDEMNITY"",""note"":""Preferred: delete alleged breach""}"
indemnity_prodco,prodco_indemnity_alleged_breach_handling,PASSABLE,"Including alleged breach of representations or warranties.","alleged breach|representations|warranties","{""doc"":""PSA_Principal_Terms"",""section"":""INDEMNITY"",""note"":""Acceptable but prefer delete""}"
indemnity_amazon,amazon_indemnity_scope_distribution_marketing_advertising_exploitation_ancillary,ACCEPTABLE,"Amazon will indemnify ProdCo for Losses arising from third-party claims related to Amazon's distribution, marketing, advertising, exploitation, and exercise of ancillary rights.","Amazon indemnify|distribution|marketing|advertising|exploitation|ancillary rights","{""doc"":""PSA_Principal_Terms"",""section"":""INDEMNITY""}"
indemnity_amazon,amazon_indemnity_exclusion_losses_prodco_indemnifies,ACCEPTABLE,"Other than Losses for which ProdCo is required to indemnify Amazon under this Agreement.","other than|Losses|ProdCo indemnify","{""doc"":""PSA_Principal_Terms"",""section"":""INDEMNITY""}"
indemnity_amazon,amazon_indemnity_indemnitees_prodco_affiliates_optional_persons,ACCEPTABLE,"Indemnitees: ProdCo and its affiliates, and their respective directors, officers, employees, and representatives.","ProdCo|affiliates|directors|officers|employees|representatives","{""doc"":""PSA_Principal_Terms"",""section"":""INDEMNITY""}"
indemnity_amazon,amazon_indemnity_add_breach_trigger,PASSABLE,"Including Amazon's breach of this Agreement.","Amazon's breach","{""doc"":""PSA_Fallbacks"",""section"":""INDEMNITY"",""approval"":""AMAZON_LEGAL""}"
indemnity_amazon,amazon_indemnity_exclude_successors_assignees,UNACCEPTABLE,"Including ProdCo's successors and assignees as indemnitees.","successors|assignees|indemnitees","{""doc"":""Counterparty_Proposal"",""note"":""Do not add successors/assignees""}"
defense_settlement,defense_notice_prompt_delay_only_material_impairment,ACCEPTABLE,"Indemnifying party must give prompt written notice of any claim; delay only relieves obligations to the extent it materially impairs the defense.","prompt written notice|delay|materially impairs|defense","{""doc"":""PSA_Principal_Terms"",""section"":""INDEMNITY""}"
defense_settlement,defense_control_by_amazon,ACCEPTABLE,"Amazon will have the option to control the defense and settlement of any claim for which ProdCo must indemnify.","option to control|defense|settlement","{""doc"":""PSA_Principal_Terms"",""section"":""INDEMNITY""}"
defense_settlement,defense_prodco_cooperation_info_assistance,ACCEPTABLE,"ProdCo will cooperate reasonably and provide information and assistance as Amazon requests.","cooperate reasonably|information|assistance","{""doc"":""PSA_Principal_Terms"",""section"":""INDEMNITY""}"
defense_settlement,defense_prodco_participation_own_expense_counsel,PASSABLE,"ProdCo may participate in the defense at its own expense with counsel of its own choosing.","participate|own expense|counsel","{""doc"":""PSA_Fallbacks"",""section"":""INDEMNITY"",""note"":""Possible give""}"
defense_settlement,settlement_prodco_approval_for_admissions_or_obligations,PASSABLE,"Amazon may not settle any claim in a manner that imposes obligations or admissions on ProdCo without ProdCo's prior written approval, not to be unreasonably withheld.","may not settle|obligations|admissions|prior written approval|not unreasonably withheld","{""doc"":""PSA_Fallbacks"",""section"":""INDEMNITY"",""note"":""Possible give""}"
control_publicity_trademarks,program_control_sole_final_control,ACCEPTABLE,"Amazon has sole and final control over all aspects of the Program.","sole and final control|Program","{""doc"":""PSA_Principal_Terms"",""section"":""CONTROL""}"
control_publicity_trademarks,publicity_marketing_no_release_without_approval,ACCEPTABLE,"ProdCo will not release or authorize any publicity or marketing related to the Program without Amazon's prior written approval.","not release|publicity|marketing|prior written approval","{""doc"":""PSA_Principal_Terms"",""section"":""MISC""}"
control_publicity_trademarks,trademark_use_prior_written_approval,ACCEPTABLE,"ProdCo will not use any Amazon trademark without Amazon's prior written approval.","not use|Amazon trademark|prior written approval","{""doc"":""PSA_Principal_Terms"",""section"":""MISC""}"
misc_legal_ops,conditions_precedent_exhibit_a,ACCEPTABLE,"Amazon's obligations are subject to conditions precedent set forth in Exhibit A.","conditions precedent|Exhibit A","{""doc"":""PSA_Principal_Terms"",""section"":""MISC""}"
misc_legal_ops,damages_waiver_indirect_consequential_carveouts,ACCEPTABLE,"Each party waives all claims for indirect, incidental, punitive, and consequential damages, except for claims arising from breach of confidentiality or indemnity obligations.","waives|indirect|incidental|punitive|consequential|except|confidentiality|indemnity","{""doc"":""PSA_Principal_Terms"",""section"":""MISC""}"
misc_legal_ops,damages_waiver_indirect_consequential_carveouts,UNACCEPTABLE,"Amazon's liability for consequential damages is unlimited.","unlimited|consequential damages","{""doc"":""Counterparty_Proposal"",""note"":""Unacceptable - removes waiver""}"
misc_legal_ops,remedies_monetary_only_waiver_injunctive_equitable_relief,ACCEPTABLE,"ProdCo's remedies are limited to monetary damages; ProdCo waives any right to injunctive or equitable relief to enjoin or restrain Amazon's exploitation of the Program.","monetary damages|waives|injunctive|equitable relief|enjoin|restrain","{""doc"":""PSA_Principal_Terms"",""section"":""MISC""}"
misc_legal_ops,remedies_monetary_only_waiver_injunctive_equitable_relief,UNACCEPTABLE,"ProdCo may seek injunctive relief to prevent distribution of the Program.","injunctive relief|prevent distribution","{""doc"":""Counterparty_Proposal"",""note"":""Injunctive relief not permitted""}"
misc_legal_ops,assignment_prodco_restricted_amazon_free_assignment,ACCEPTABLE,"ProdCo may not assign this Agreement without Amazon's prior written consent; Amazon may freely assign this Agreement.","may not assign|prior written consent|freely assign","{""doc"":""PSA_Principal_Terms"",""section"":""MISC""}"
misc_legal_ops,assignment_notification_efforts,PASSABLE,"Amazon will make reasonable efforts to notify ProdCo of any assignment; inadvertent failure to notify will not be deemed a breach.","reasonable efforts|notify|assignment|inadvertent failure|not breach","{""doc"":""PSA_Fallbacks"",""section"":""MISC"",""approval"":""AMAZON_LEGAL""}"
misc_legal_ops,suspension_force_majeure_extension,ACCEPTABLE,"Amazon may suspend production; all dates extend for force majeure, unavailability of key elements, or pending claims/litigation.","suspend|force majeure|unavailability|claims|litigation|extend","{""doc"":""PSA_Principal_Terms"",""section"":""MISC""}"
misc_legal_ops,no_partnership_joint_venture_agency,ACCEPTABLE,"This Agreement does not create any partnership, joint venture, or agency relationship between the parties.","no partnership|joint venture|agency","{""doc"":""PSA_Principal_Terms"",""section"":""MISC""}"
misc_legal_ops,data_protection_independent_controllers,ACCEPTABLE,"Each party acts as an independent data controller under applicable data protection legislation including GDPR.","independent data controllers|GDPR|data protection","{""doc"":""PSA_Principal_Terms"",""section"":""DATA""}"
misc_legal_ops,tax_transaction_taxes_inclusive_exclusive,PASSABLE,"Amounts paid by Amazon are exclusive of transaction taxes; ProdCo will provide a valid tax invoice.","exclusive|transaction taxes|valid tax invoice","{""doc"":""PSA_Fallbacks"",""section"":""TAX"",""approval"":""TAX_FINANCE""}"
misc_legal_ops,tax_withholding_and_reporting_forms,ACCEPTABLE,"Amazon may deduct or withhold taxes as required; reduced payment is full settlement; ProdCo will provide required documentation (e.g., 1042-S).","deduct|withhold|full settlement|1042-S|documentation","{""doc"":""PSA_Principal_Terms"",""section"":""TAX""}"
misc_legal_ops,governing_law_ny_jurisdiction_nyc_jury_waiver,ACCEPTABLE,"This Agreement is governed by the laws of the State of New York; exclusive jurisdiction in New York, New York; parties waive any right to jury trial.","State of New York|exclusive jurisdiction|New York|waive|jury trial","{""doc"":""PSA_Principal_Terms"",""section"":""LAW""}"
